NSE,date
2092.52,25/04/2006
2119.6,26/04/2006
2126.46,27/04/2006
2120.54,28/04/2006
2159.86,29/04/2006
2159.86,30/04/2006
2159.86,01/05/2006
2164.43,02/05/2006
2154.87,03/05/2006
2150.47,04/05/2006
2143.53,05/05/2006
2143.53,06/05/2006
2143.53,07/05/2006
2152.51,08/05/2006
2152.71,09/05/2006
2160.84,10/05/2006
2149.75,11/05/2006
2140.03,12/05/2006
2140.03,13/05/2006
2140.03,14/05/2006
2068.8,15/05/2006
2051.97,16/05/2006
2107.64,17/05/2006
1999.57,18/05/2006
1912.91,19/05/2006
1912.91,20/05/2006
1912.91,21/05/2006
1800.6,22/05/2006
1836.53,23/05/2006
1820.57,24/05/2006
1796.62,25/05/2006
1817.92,26/05/2006
1817.92,27/05/2006
1817.92,28/05/2006
1836.54,29/05/2006
1843.68,30/05/2006
1805.51,31/05/2006
1746.97,01/06/2006
1726.75,02/06/2006
1726.75,03/06/2006
1726.75,04/06/2006
1693.69,05/06/2006
1624.2,06/06/2006
1527.62,07/06/2006
1422.52,08/06/2006
1495.72,09/06/2006
1495.72,10/06/2006
1495.72,11/06/2006
1474.78,12/06/2006
1373.63,13/06/2006
1322.98,14/06/2006
1406.38,15/06/2006
1473.16,16/06/2006
1473.16,17/06/2006
1473.16,18/06/2006
1511.35,19/06/2006
1513.07,20/06/2006
1560.11,21/06/2006
1596.4,22/06/2006
1586.39,23/06/2006
1586.39,24/06/2006
1602.14,25/06/2006
1535,26/06/2006
1512.95,27/06/2006
1510.71,28/06/2006
1514.29,29/06/2006
1569.77,30/06/2006
1569.77,01/07/2006
1569.77,02/07/2006
1565.92,03/07/2006
1562.18,04/07/2006
1574.85,05/07/2006
1563.78,06/07/2006
1534.75,07/07/2006
1534.75,08/07/2006
1534.75,09/07/2006
1535.53,10/07/2006
1542.97,11/07/2006
1553.43,12/07/2006
1556.37,13/07/2006
1541.54,14/07/2006
1541.54,15/07/2006
1541.54,16/07/2006
1508.02,17/07/2006
1485.18,18/07/2006
1430.26,19/07/2006
1454.14,20/07/2006
1417.36,21/07/2006
1417.36,22/07/2006
1417.36,23/07/2006
1393.13,24/07/2006
1426.75,25/07/2006
1452.98,26/07/2006
1478.92,27/07/2006
1499.03,28/07/2006
1499.03,29/07/2006
1499.03,30/07/2006
1512.12,31/07/2006
1504.09,01/08/2006
1520.9,02/08/2006
1538.37,03/08/2006
1535.74,04/08/2006
1535.74,05/08/2006
1535.74,06/08/2006
1536.65,07/08/2006
1558.69,08/08/2006
1600.24,09/08/2006
1627.33,10/08/2006
1643.89,11/08/2006
1643.89,12/08/2006
1643.89,13/08/2006
1670.8,14/08/2006
1670.8,15/08/2006
1690.01,16/08/2006
1671.16,17/08/2006
1674.08,18/08/2006
1674.08,19/08/2006
1674.08,20/08/2006
1687.78,21/08/2006
1686.12,22/08/2006
1671.19,23/08/2006
1674.29,24/08/2006
1692.21,25/08/2006
1692.21,26/08/2006
1692.21,27/08/2006
1698.79,28/08/2006
1695.42,29/08/2006
1686.28,30/08/2006
1677.01,31/08/2006
1695.78,01/09/2006
1695.78,02/09/2006
1695.78,03/09/2006
1732.13,04/09/2006
1729.23,05/09/2006
1740.17,06/09/2006
1739.62,07/09/2006
1757.48,08/09/2006
1757.48,09/09/2006
1757.48,10/09/2006
1699.58,11/09/2006
1717.41,12/09/2006
1741.57,13/09/2006
1746.94,14/09/2006
1751.08,15/09/2006
1751.08,16/09/2006
1751.08,17/09/2006
1753.19,18/09/2006
1737.93,19/09/2006
1743.25,20/09/2006
1765,21/09/2006
1762.98,22/09/2006
1762.98,23/09/2006
1762.98,24/09/2006
1762.12,25/09/2006
1772.75,26/09/2006
1782.23,27/09/2006
1792.65,28/09/2006
1821.74,29/09/2006
1821.74,30/09/2006
1821.74,01/10/2006
1821.74,02/10/2006
1820.97,03/10/2006
1820.17,04/10/2006
1855.78,05/10/2006
1873.38,06/10/2006
1873.38,07/10/2006
1873.38,08/10/2006
1876.31,09/10/2006
1861.32,10/10/2006
1840.79,11/10/2006
1853.08,12/10/2006
1865.25,13/10/2006
1865.25,14/10/2006
1865.25,15/10/2006
1869.54,16/10/2006
1858.17,17/10/2006
1855.02,18/10/2006
1855.91,19/10/2006
1875.94,20/10/2006
1895.48,21/10/2006
1895.48,22/10/2006
1889.14,23/10/2006
1889.14,24/10/2006
1889.14,25/10/2006
1905.31,26/10/2006
1928.91,27/10/2006
1928.91,28/10/2006
1928.91,29/10/2006
1941.9,30/10/2006
1936.17,31/10/2006
1945,01/11/2006
1959.26,02/11/2006
1965.05,03/11/2006
1965.05,04/11/2006
1965.05,05/11/2006
2004.63,06/11/2006
2014.54,07/11/2006
1978.87,08/11/2006
1986.83,09/11/2006
2003.83,10/11/2006
2003.83,11/11/2006
2003.83,12/11/2006
2036.37,13/11/2006
2017.36,14/11/2006
2012.13,15/11/2006
2024.81,16/11/2006
1984.25,17/11/2006
1984.25,18/11/2006
1984.25,19/11/2006
1964.19,20/11/2006
2007.92,21/11/2006
2044.47,22/11/2006
2067.65,23/11/2006
2087.9,24/11/2006
2087.9,25/11/2006
2087.9,26/11/2006
2107.4,27/11/2006
2100.08,28/11/2006
2128.06,29/11/2006
2104.77,30/11/2006
2131.31,01/12/2006
2131.31,02/12/2006
2131.31,03/12/2006
2154.91,04/12/2006
2160.01,05/12/2006
2149.25,06/12/2006
2151.67,07/12/2006
2139.39,08/12/2006
2139.39,09/12/2006
2139.39,10/12/2006
2088.28,11/12/2006
2001.63,12/12/2006
2047.87,13/12/2006
2105.27,14/12/2006
2126.79,15/12/2006
2126.79,16/12/2006
2126.79,17/12/2006
2121.1,18/12/2006
2083.96,19/12/2006
2068.94,20/12/2006
2083.38,21/12/2006
2106.73,22/12/2006
2106.73,23/12/2006
2106.73,24/12/2006
2106.73,25/12/2006
2134.22,26/12/2006
2160.48,27/12/2006
2150.45,28/12/2006
2176.14,29/12/2006
2176.14,30/12/2006
2176.14,31/12/2006
2176.14,01/01/2007
2220.71,02/01/2007
2236.49,03/01/2007
2244.86,04/01/2007
2242.33,05/01/2007
2242.33,06/01/2007
2242.33,07/01/2007
2224.29,08/01/2007
2217.35,09/01/2007
2183.4,10/01/2007
2206.49,11/01/2007
2233.82,12/01/2007
2233.82,13/01/2007
2233.82,14/01/2007
2246.55,15/01/2007
2249.09,16/01/2007
2263.9,17/01/2007
2257.46,18/01/2007
2241.97,19/01/2007
2241.97,20/01/2007
2241.97,21/01/2007
2240.14,22/01/2007
2196.98,23/01/2007
2203.21,24/01/2007
2226.17,25/01/2007
2226.17,26/01/2007
2226.17,27/01/2007
2226.17,28/01/2007
2217.44,29/01/2007
2217.44,30/01/2007
2202.68,31/01/2007
2224.77,01/02/2007
2232.47,02/02/2007
2232.47,03/02/2007
2232.47,04/02/2007
2245.56,05/02/2007
2261.9,06/02/2007
2259.29,07/02/2007
2248.21,08/02/2007
2199.15,09/02/2007
2199.15,10/02/2007
2199.15,11/02/2007
2114.24,12/02/2007
2104.02,13/02/2007
2101.29,14/02/2007
2159.81,15/02/2007
2159.81,16/02/2007
2159.81,17/02/2007
2159.81,18/02/2007
2151.09,19/02/2007
2127.13,20/02/2007
2138.26,21/02/2007
2108.55,22/02/2007
2054.17,23/02/2007
2054.17,24/02/2007
2054.17,25/02/2007
2065.26,26/02/2007
2073.15,27/02/2007
2000.35,28/02/2007
2006.01,01/03/2007
1990.61,02/03/2007
1990.61,03/03/2007
1990.61,04/03/2007
1880.46,05/03/2007
1875.56,06/03/2007
1833.15,07/03/2007
1891.57,08/03/2007
1884.2,09/03/2007
1884.2,10/03/2007
1884.2,11/03/2007
1904.76,12/03/2007
1927.76,13/03/2007
1889.89,14/03/2007
1900.64,15/03/2007
1881.01,16/03/2007
1881.01,17/03/2007
1881.01,18/03/2007
1898.71,19/03/2007
1915.76,20/03/2007
1920.5,21/03/2007
1941.65,22/03/2007
1957.61,23/03/2007
1957.61,24/03/2007
1957.61,25/03/2007
1951.52,26/03/2007
1951.52,27/03/2007
1924.7,28/03/2007
1938.07,29/03/2007
1966.08,30/03/2007
1966.08,31/03/2007
1966.08,01/04/2007
1890.97,02/04/2007
1902.77,03/04/2007
1917.72,04/04/2007
1931.61,05/04/2007
1931.61,06/04/2007
1931.61,07/04/2007
1931.61,08/04/2007
1970.88,09/04/2007
1994.19,10/04/2007
2021.59,11/04/2007
2014.99,12/04/2007
2054.16,13/04/2007
2054.16,14/04/2007
2054.16,15/04/2007
2083.79,16/04/2007
2066.89,17/04/2007
2066.66,18/04/2007
2064.64,19/04/2007
2084.56,20/04/2007
2084.56,21/04/2007
2084.56,22/04/2007
2097.03,23/04/2007
2114.92,24/04/2007
2140.77,25/04/2007
2143.61,26/04/2007
2116.24,27/04/2007
2116.24,28/04/2007
2116.24,29/04/2007
2139.72,30/04/2007
2139.72,01/05/2007
2139.72,02/05/2007
2157.13,03/05/2007
2143.46,04/05/2007
2143.46,05/05/2007
2143.46,06/05/2007
2136.6,07/05/2007
2109.98,08/05/2007
2118.41,09/05/2007
2125.25,10/05/2007
2132.17,11/05/2007
2132.17,12/05/2007
2132.17,13/05/2007
2162.15,14/05/2007
2171.15,15/05/2007
2200.27,16/05/2007
2226.21,17/05/2007
2226.58,18/05/2007
2226.58,19/05/2007
2226.58,20/05/2007
2235.61,21/05/2007
2245.23,22/05/2007
2239.56,23/05/2007
2228.02,24/05/2007
2233.44,25/05/2007
2233.44,26/05/2007
2233.44,27/05/2007
2251.21,28/05/2007
2266.93,29/05/2007
2248.19,30/05/2007
2264.46,31/05/2007
2292.58,01/06/2007
2292.58,02/06/2007
2292.58,03/06/2007
2285.39,04/06/2007
2291.68,05/06/2007
2253.43,06/06/2007
2252.58,07/06/2007
2241.26,08/06/2007
2241.26,09/06/2007
2241.26,10/06/2007
